Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return
2021-01-12 00:00:00-05:00;125,52;126,68;123,91;125,81;91951100;0,00;0,00;-0,14%
2021-01-13 00:00:00-05:00;125,77;128,40;125,51;127,85;88636800;0,00;0,00;1,62%
2021-01-14 00:00:00-05:00;127,76;127,96;125,77;125,92;90221800;0,00;0,00;-1,51%
2021-01-15 00:00:00-05:00;125,79;127,20;124,05;124,19;111598500;0,00;0,00;-1,37%
2021-01-19 00:00:00-05:00;124,81;125,72;123,99;124,86;90757300;0,00;0,00;0,54%
2021-01-20 00:00:00-05:00;125,67;129,41;125,57;128,96;104319500;0,00;0,00;3,29%
2021-01-21 00:00:00-05:00;130,69;136,43;130,49;133,69;120150900;0,00;0,00;3,67%
2021-01-22 00:00:00-05:00;133,12;136,60;131,88;135,84;114459400;0,00;0,00;1,61%
2021-01-25 00:00:00-05:00;139,75;141,72;133,37;139,60;157611700;0,00;0,00;2,77%
2021-01-26 00:00:00-05:00;140,27;140,95;138,09;139,84;98390600;0,00;0,00;0,17%
2021-01-27 00:00:00-05:00;140,10;140,95;137,15;138,76;140843800;0,00;0,00;-0,77%
2021-01-28 00:00:00-05:00;136,28;138,69;133,53;133,91;142621100;0,00;0,00;-3,50%
2021-01-29 00:00:00-05:00;132,68;133,57;127,19;128,90;177523800;0,00;0,00;-3,74%
2021-02-01 00:00:00-05:00;130,64;132,24;127,89;131,03;106239800;0,00;0,00;1,65%
2021-02-02 00:00:00-05:00;132,58;133,15;131,48;131,86;83305400;0,00;0,00;0,63%
2021-02-03 00:00:00-05:00;132,61;132,62;130,51;130,83;89880900;0,00;0,00;-0,78%
2021-02-04 00:00:00-05:00;133,14;134,21;131,46;134,20;84183100;0,00;0,00;2,58%
2021-02-05 00:00:00-05:00;134,36;134,43;132,90;133,78;75693800;0,20;0,00;-0,31%
2021-02-08 00:00:00-05:00;133,07;133,98;131,98;133,93;71297200;0,00;0,00;0,11%
2021-02-09 00:00:00-05:00;133,65;134,88;132,89;133,05;76774200;0,00;0,00;-0,66%
2021-02-10 00:00:00-05:00;133,51;134,01;131,48;132,44;73046600;0,00;0,00;-0,46%
2021-02-11 00:00:00-05:00;132,94;133,42;130,86;132,19;64280000;0,00;0,00;-0,19%
2021-02-12 00:00:00-05:00;131,43;132,58;130,78;132,42;60145100;0,00;0,00;0,18%
2021-02-16 00:00:00-05:00;132,54;133,05;129,90;130,29;80576300;0,00;0,00;-1,61%
2021-02-17 00:00:00-05:00;128,39;129,34;126,65;127,99;97918500;0,00;0,00;-1,76%
2021-02-18 00:00:00-05:00;126,39;127,17;124,64;126,89;96856700;0,00;0,00;-0,86%
2021-02-19 00:00:00-05:00;127,41;127,87;126,00;127,04;87668800;0,00;0,00;0,12%
2021-02-22 00:00:00-05:00;125,22;126,90;122,87;123,26;103916400;0,00;0,00;-2,98%
2021-02-23 00:00:00-05:00;121,07;123,95;115,81;123,12;158273000;0,00;0,00;-0,11%
2021-02-24 00:00:00-05:00;122,22;122,83;119,57;122,62;111039900;0,00;0,00;-0,41%
2021-02-25 00:00:00-05:00;121,97;123,71;117,92;118,36;148199500;0,00;0,00;-3,48%
2021-02-26 00:00:00-05:00;119,92;122,13;118,56;118,62;164560400;0,00;0,00;0,22%
2021-03-01 00:00:00-05:00;121,06;125,15;120,12;125,01;116307900;0,00;0,00;5,39%
2021-03-02 00:00:00-05:00;125,62;125,92;122,29;122,40;102260900;0,00;0,00;-2,09%
2021-03-03 00:00:00-05:00;122,09;122,97;119,19;119,40;112966300;0,00;0,00;-2,45%
2021-03-04 00:00:00-05:00;119,10;120,91;116,04;117,52;178155000;0,00;0,00;-1,58%
2021-03-05 00:00:00-05:00;118,35;119,29;115,01;118,78;153766600;0,00;0,00;1,07%
2021-03-08 00:00:00-05:00;118,30;118,37;113,68;113,83;154376600;0,00;0,00;-4,17%
2021-03-09 00:00:00-05:00;116,44;119,40;116,21;118,46;129525800;0,00;0,00;4,06%
2021-03-10 00:00:00-05:00;119,04;119,51;116,85;117,37;111943300;0,00;0,00;-0,92%
2021-03-11 00:00:00-05:00;119,87;120,53;118,62;119,31;103026500;0,00;0,00;1,65%
2021-03-12 00:00:00-05:00;117,78;118,53;116,57;118,40;88105100;0,00;0,00;-0,76%
2021-03-15 00:00:00-04:00;118,77;121,30;117,80;121,29;92403800;0,00;0,00;2,45%
2021-03-16 00:00:00-04:00;122,96;124,45;122,01;122,84;115227900;0,00;0,00;1,27%
2021-03-17 00:00:00-04:00;121,35;123,12;119,68;122,05;111932600;0,00;0,00;-0,65%
2021-03-18 00:00:00-04:00;120,21;120,50;117,70;117,91;121229700;0,00;0,00;-3,39%
2021-03-19 00:00:00-04:00;117,29;118,79;117,08;117,38;185549500;0,00;0,00;-0,45%
2021-03-22 00:00:00-04:00;117,71;121,17;117,64;120,71;111912300;0,00;0,00;2,83%
2021-03-23 00:00:00-04:00;120,65;121,54;119,48;119,87;95467100;0,00;0,00;-0,69%
2021-03-24 00:00:00-04:00;120,15;120,23;117,46;117,48;88530500;0,00;0,00;-2,00%
2021-03-25 00:00:00-04:00;116,94;119,01;116,41;117,97;98844700;0,00;0,00;0,42%
2021-03-26 00:00:00-04:00;117,73;118,84;116,33;118,57;94071200;0,00;0,00;0,51%
2021-03-29 00:00:00-04:00;119,00;119,91;118,10;118,75;80819200;0,00;0,00;0,15%
2021-03-30 00:00:00-04:00;117,50;117,78;116,27;117,29;85671900;0,00;0,00;-1,23%
2021-03-31 00:00:00-04:00;119,00;120,83;118,51;119,49;118323800;0,00;0,00;1,88%
2021-04-01 00:00:00-04:00;120,97;121,48;119,82;120,32;75089100;0,00;0,00;0,70%
2021-04-05 00:00:00-04:00;121,17;123,41;120,39;123,16;88651200;0,00;0,00;2,36%
2021-04-06 00:00:00-04:00;123,75;124,36;122,92;123,46;80171300;0,00;0,00;0,25%
2021-04-07 00:00:00-04:00;123,09;125,14;122,42;125,12;83466700;0,00;0,00;1,34%
2021-04-08 00:00:00-04:00;126,14;127,55;125,72;127,52;88844600;0,00;0,00;1,92%
2021-04-09 00:00:00-04:00;126,98;130,15;126,65;130,11;106686700;0,00;0,00;2,03%
2021-04-12 00:00:00-04:00;129,64;129,96;127,79;128,38;91420000;0,00;0,00;-1,32%
2021-04-13 00:00:00-04:00;129,56;131,73;129,06;131,50;91266500;0,00;0,00;2,43%
2021-04-14 00:00:00-04:00;132,00;132,06;128,80;129,16;87222800;0,00;0,00;-1,79%
2021-04-15 00:00:00-04:00;130,91;132,06;130,73;131,57;89347100;0,00;0,00;1,87%
2021-04-16 00:00:00-04:00;131,38;131,74;130,38;131,24;84922400;0,00;0,00;-0,25%
2021-04-19 00:00:00-04:00;130,60;132,52;130,44;131,91;94264200;0,00;0,00;0,51%
2021-04-20 00:00:00-04:00;132,08;132,58;128,94;130,21;94812300;0,00;0,00;-1,28%
2021-04-21 00:00:00-04:00;129,48;130,84;128,44;130,60;68847100;0,00;0,00;0,29%
2021-04-22 00:00:00-04:00;130,15;131,23;128,55;129,07;84566500;0,00;0,00;-1,17%
2021-04-23 00:00:00-04:00;129,28;132,18;129,28;131,40;78657500;0,00;0,00;1,80%
2021-04-26 00:00:00-04:00;131,90;132,12;130,65;131,79;66905100;0,00;0,00;0,30%
2021-04-27 00:00:00-04:00;132,07;132,46;131,19;131,47;66015800;0,00;0,00;-0,24%
2021-04-28 00:00:00-04:00;131,39;132,08;130,18;130,67;107760100;0,00;0,00;-0,60%
2021-04-29 00:00:00-04:00;133,50;134,09;129,57;130,58;151101000;0,00;0,00;-0,07%
2021-04-30 00:00:00-04:00;128,91;130,65;128,22;128,60;109839500;0,00;0,00;-1,51%
2021-05-03 00:00:00-04:00;129,17;131,15;128,96;129,66;75135100;0,00;0,00;0,82%
2021-05-04 00:00:00-04:00;128,34;128,63;123,94;125,07;137564700;0,00;0,00;-3,54%
2021-05-05 00:00:00-04:00;126,39;127,61;125,19;125,31;84000900;0,00;0,00;0,20%
2021-05-06 00:00:00-04:00;125,11;126,93;124,36;126,92;78128300;0,00;0,00;1,28%
